"Group.1"/t"x"
"1"/t"2020-02-09 11:15"/t400.55
"2"/t"2020-02-09 11:20"/t438.36
"3"/t"2020-02-09 11:25"/t656.05
"4"/t"2020-02-09 11:30"/t318.61
"5"/t"2020-02-09 11:35"/t305.71
"6"/t"2020-02-09 11:40"/t333.46
"7"/t"2020-02-09 11:45"/t171.57
"8"/t"2020-02-09 11:50"/t328.3
"9"/t"2020-02-09 11:55"/t161.92
"10"/t"2020-02-09 12:00"/t206.24
"11"/t"2020-02-09 12:05"/t261.15
"12"/t"2020-02-09 12:10"/t333.61
"13"/t"2020-02-09 12:15"/t288.69
"14"/t"2020-02-09 12:20"/t275.24
"15"/t"2020-02-09 12:25"/t131.76
"16"/t"2020-02-09 12:30"/t368.98
"17"/t"2020-02-09 12:35"/t4.97
"18"/t"2020-02-09 12:40"/t0
"19"/t"2020-02-09 13:15"/t0
"20"/t"2020-02-09 13:20"/t0
"21"/t"2020-02-09 13:40"/t0
"22"/t"2020-02-09 13:45"/t413.28
"23"/t"2020-02-09 13:50"/t451.46
"24"/t"2020-02-09 13:55"/t496.49
"25"/t"2020-02-09 14:00"/t434.58
"26"/t"2020-02-09 14:05"/t203.09
"27"/t"2020-02-09 14:10"/t633.36
"28"/t"2020-02-09 14:15"/t591.25
"29"/t"2020-02-09 14:20"/t670.22
"30"/t"2020-02-09 14:25"/t609.91
"31"/t"2020-02-09 14:30"/t469.5
"32"/t"2020-02-09 14:35"/t543.05
"33"/t"2020-02-09 14:40"/t264.13
"34"/t"2020-02-09 14:45"/t519.57
"35"/t"2020-02-09 14:50"/t92.8
"36"/t"2020-02-09 14:55"/t61.85
"37"/t"2020-02-09 15:00"/t324.96
"38"/t"2020-02-09 15:05"/t315.67
"39"/t"2020-02-09 15:10"/t253.58
"40"/t"2020-02-09 15:15"/t230.17
"41"/t"2020-02-09 15:20"/t164.13
"42"/t"2020-02-09 15:25"/t334.37
"43"/t"2020-02-09 15:30"/t141.69
"44"/t"2020-02-09 15:35"/t267.96
"45"/t"2020-02-09 15:40"/t229.99
"46"/t"2020-02-09 15:45"/t377.97
"47"/t"2020-02-09 15:50"/t415.67
"48"/t"2020-02-09 15:55"/t328.09
"49"/t"2020-02-09 16:00"/t230.37
"50"/t"2020-02-09 16:05"/t348.53
"51"/t"2020-02-09 16:10"/t276.03
"52"/t"2020-02-09 16:15"/t222
"53"/t"2020-02-09 16:20"/t211.18
"54"/t"2020-02-09 16:25"/t213.45
"55"/t"2020-02-09 16:30"/t212.15
"56"/t"2020-02-09 16:35"/t221.7
"57"/t"2020-02-09 16:40"/t332.18
"58"/t"2020-02-09 16:45"/t394.71
"59"/t"2020-02-09 16:50"/t120.85
"60"/t"2020-02-09 16:55"/t79.47
"61"/t"2020-02-09 17:00"/t286.69
"62"/t"2020-02-09 17:05"/t95.96
"63"/t"2020-02-09 17:10"/t227.93
"64"/t"2020-02-09 17:15"/t184.73
"65"/t"2020-02-09 17:20"/t89.88
"66"/t"2020-02-09 17:25"/t164.08
"67"/t"2020-02-09 17:30"/t14.87
"68"/t"2020-02-09 17:35"/t19.39
"69"/t"2020-02-09 17:40"/t261.81
"70"/t"2020-02-09 17:45"/t266.84
"71"/t"2020-02-09 17:50"/t143.27
"72"/t"2020-02-09 17:55"/t157.78
"73"/t"2020-02-09 18:00"/t0
"74"/t"2020-02-09 18:05"/t0
"75"/t"2020-02-09 18:10"/t0
"76"/t"2020-02-09 18:15"/t0
"77"/t"2020-02-09 18:20"/t0
"78"/t"2020-02-09 18:25"/t0
"79"/t"2020-02-09 18:30"/t0
"80"/t"2020-02-09 18:35"/t0
"81"/t"2020-02-09 18:40"/t0
"82"/t"2020-02-09 18:45"/t0
"83"/t"2020-02-09 18:50"/t0
"84"/t"2020-02-09 18:55"/t0
"85"/t"2020-02-09 19:00"/t0
"86"/t"2020-02-09 19:05"/t0
"87"/t"2020-02-09 19:10"/t143.68
"88"/t"2020-02-09 19:15"/t221.81
"89"/t"2020-02-09 19:20"/t131.95
"90"/t"2020-02-09 19:25"/t335.96
"91"/t"2020-02-09 19:30"/t525.18
"92"/t"2020-02-09 19:35"/t499.95
"93"/t"2020-02-09 19:40"/t172.65
"94"/t"2020-02-09 19:45"/t248.36
"95"/t"2020-02-09 19:50"/t152.17
"96"/t"2020-02-09 19:55"/t2.62
