"Group.1","x"
"1","2020-02-09 11:15",12
"2","2020-02-09 11:20",18
"3","2020-02-09 11:25",18
"4","2020-02-09 11:30",24
"5","2020-02-09 11:35",15
"6","2020-02-09 11:40",3
"7","2020-02-09 11:45",9
"8","2020-02-09 11:50",12
"9","2020-02-09 11:55",5
"10","2020-02-09 12:00",12
"11","2020-02-09 12:05",14
"12","2020-02-09 12:10",11
"13","2020-02-09 12:15",16
"14","2020-02-09 12:20",9
"15","2020-02-09 12:25",5
"16","2020-02-09 12:30",6
"17","2020-02-09 12:35",0
"18","2020-02-09 12:40",0
"19","2020-02-09 13:15",0
"20","2020-02-09 13:20",0
"21","2020-02-09 13:40",0
"22","2020-02-09 13:45",7
"23","2020-02-09 13:50",15
"24","2020-02-09 13:55",24
"25","2020-02-09 14:00",25
"26","2020-02-09 14:05",17
"27","2020-02-09 14:10",18
"28","2020-02-09 14:15",13
"29","2020-02-09 14:20",8
"30","2020-02-09 14:25",8
"31","2020-02-09 14:30",6
"32","2020-02-09 14:35",6
"33","2020-02-09 14:40",11
"34","2020-02-09 14:45",18
"35","2020-02-09 14:50",6
"36","2020-02-09 14:55",3
"37","2020-02-09 15:00",15
"38","2020-02-09 15:05",10
"39","2020-02-09 15:10",5
"40","2020-02-09 15:15",14
"41","2020-02-09 15:20",12
"42","2020-02-09 15:25",13
"43","2020-02-09 15:30",14
"44","2020-02-09 15:35",15
"45","2020-02-09 15:40",7
"46","2020-02-09 15:45",13
"47","2020-02-09 15:50",14
"48","2020-02-09 15:55",4
"49","2020-02-09 16:00",11
"50","2020-02-09 16:05",10
"51","2020-02-09 16:10",6
"52","2020-02-09 16:15",7
"53","2020-02-09 16:20",7
"54","2020-02-09 16:25",4
"55","2020-02-09 16:30",0
"56","2020-02-09 16:35",2
"57","2020-02-09 16:40",3
"58","2020-02-09 16:45",14
"59","2020-02-09 16:50",11
"60","2020-02-09 16:55",3
"61","2020-02-09 17:00",3
"62","2020-02-09 17:05",3
"63","2020-02-09 17:10",2
"64","2020-02-09 17:15",2
"65","2020-02-09 17:20",1
"66","2020-02-09 17:25",1
"67","2020-02-09 17:30",0
"68","2020-02-09 17:35",1
"69","2020-02-09 17:40",13
"70","2020-02-09 17:45",5
"71","2020-02-09 17:50",7
"72","2020-02-09 17:55",0
"73","2020-02-09 18:00",0
"74","2020-02-09 18:05",0
"75","2020-02-09 18:10",0
"76","2020-02-09 18:15",0
"77","2020-02-09 18:20",0
"78","2020-02-09 18:25",0
"79","2020-02-09 18:30",0
"80","2020-02-09 18:35",0
"81","2020-02-09 18:40",0
"82","2020-02-09 18:45",0
"83","2020-02-09 18:50",0
"84","2020-02-09 18:55",0
"85","2020-02-09 19:00",0
"86","2020-02-09 19:05",0
"87","2020-02-09 19:10",3
"88","2020-02-09 19:15",5
"89","2020-02-09 19:20",0
"90","2020-02-09 19:25",3
"91","2020-02-09 19:30",1
"92","2020-02-09 19:35",2
"93","2020-02-09 19:40",0
"94","2020-02-09 19:45",0
"95","2020-02-09 19:50",2
"96","2020-02-09 19:55",0
