"Group.1"/t"x"
"1"/t"2020-02-09 11:15"/t19
"2"/t"2020-02-09 11:20"/t38
"3"/t"2020-02-09 11:25"/t26
"4"/t"2020-02-09 11:30"/t42
"5"/t"2020-02-09 11:35"/t25
"6"/t"2020-02-09 11:40"/t3
"7"/t"2020-02-09 11:45"/t18
"8"/t"2020-02-09 11:50"/t13
"9"/t"2020-02-09 11:55"/t35
"10"/t"2020-02-09 12:00"/t33
"11"/t"2020-02-09 12:05"/t37
"12"/t"2020-02-09 12:10"/t26
"13"/t"2020-02-09 12:15"/t41
"14"/t"2020-02-09 12:20"/t21
"15"/t"2020-02-09 12:25"/t27
"16"/t"2020-02-09 12:30"/t10
"17"/t"2020-02-09 12:35"/t0
"18"/t"2020-02-09 12:40"/t0
"19"/t"2020-02-09 13:15"/t0
"20"/t"2020-02-09 13:20"/t0
"21"/t"2020-02-09 13:40"/t0
"22"/t"2020-02-09 13:45"/t7
"23"/t"2020-02-09 13:50"/t37
"24"/t"2020-02-09 13:55"/t46
"25"/t"2020-02-09 14:00"/t45
"26"/t"2020-02-09 14:05"/t47
"27"/t"2020-02-09 14:10"/t26
"28"/t"2020-02-09 14:15"/t16
"29"/t"2020-02-09 14:20"/t12
"30"/t"2020-02-09 14:25"/t15
"31"/t"2020-02-09 14:30"/t10
"32"/t"2020-02-09 14:35"/t7
"33"/t"2020-02-09 14:40"/t25
"34"/t"2020-02-09 14:45"/t25
"35"/t"2020-02-09 14:50"/t41
"36"/t"2020-02-09 14:55"/t33
"37"/t"2020-02-09 15:00"/t21
"38"/t"2020-02-09 15:05"/t16
"39"/t"2020-02-09 15:10"/t8
"40"/t"2020-02-09 15:15"/t43
"41"/t"2020-02-09 15:20"/t49
"42"/t"2020-02-09 15:25"/t29
"43"/t"2020-02-09 15:30"/t30
"44"/t"2020-02-09 15:35"/t28
"45"/t"2020-02-09 15:40"/t22
"46"/t"2020-02-09 15:45"/t38
"47"/t"2020-02-09 15:50"/t33
"48"/t"2020-02-09 15:55"/t15
"49"/t"2020-02-09 16:00"/t27
"50"/t"2020-02-09 16:05"/t20
"51"/t"2020-02-09 16:10"/t13
"52"/t"2020-02-09 16:15"/t22
"53"/t"2020-02-09 16:20"/t18
"54"/t"2020-02-09 16:25"/t10
"55"/t"2020-02-09 16:30"/t0
"56"/t"2020-02-09 16:35"/t4
"57"/t"2020-02-09 16:40"/t13
"58"/t"2020-02-09 16:45"/t27
"59"/t"2020-02-09 16:50"/t36
"60"/t"2020-02-09 16:55"/t20
"61"/t"2020-02-09 17:00"/t9
"62"/t"2020-02-09 17:05"/t9
"63"/t"2020-02-09 17:10"/t12
"64"/t"2020-02-09 17:15"/t3
"65"/t"2020-02-09 17:20"/t7
"66"/t"2020-02-09 17:25"/t13
"67"/t"2020-02-09 17:30"/t6
"68"/t"2020-02-09 17:35"/t30
"69"/t"2020-02-09 17:40"/t36
"70"/t"2020-02-09 17:45"/t10
"71"/t"2020-02-09 17:50"/t10
"72"/t"2020-02-09 17:55"/t0
"73"/t"2020-02-09 18:00"/t0
"74"/t"2020-02-09 18:05"/t0
"75"/t"2020-02-09 18:10"/t0
"76"/t"2020-02-09 18:15"/t0
"77"/t"2020-02-09 18:20"/t0
"78"/t"2020-02-09 18:25"/t0
"79"/t"2020-02-09 18:30"/t0
"80"/t"2020-02-09 18:35"/t0
"81"/t"2020-02-09 18:40"/t0
"82"/t"2020-02-09 18:45"/t0
"83"/t"2020-02-09 18:50"/t0
"84"/t"2020-02-09 18:55"/t0
"85"/t"2020-02-09 19:00"/t0
"86"/t"2020-02-09 19:05"/t1
"87"/t"2020-02-09 19:10"/t4
"88"/t"2020-02-09 19:15"/t8
"89"/t"2020-02-09 19:20"/t0
"90"/t"2020-02-09 19:25"/t3
"91"/t"2020-02-09 19:30"/t1
"92"/t"2020-02-09 19:35"/t2
"93"/t"2020-02-09 19:40"/t6
"94"/t"2020-02-09 19:45"/t2
"95"/t"2020-02-09 19:50"/t2
"96"/t"2020-02-09 19:55"/t0
